,state,tot_loss,tot_closs,injuries,fatalities,magnitude,num_events,state_name,seal_location,large_seal_location
0,AK,0.0,0.0,0,0,9.0,6,alaska,/static/img/alaska-small.png,/static/img/alaska-large.png
1,AL,2.52,0.0,2690,394,36.0,5295,alabama,/static/img/alabama-small.png,/static/img/alabama-large.png
2,AR,7.72,0.0,405,50,32.0,4788,arkansas,/static/img/arkansas-small.png,/static/img/arkansas-large.png
3,AZ,3.36,4.5,21,0,43.0,996,arizona,/static/img/arizona-small.png,/static/img/arizona-large.png
4,CA,1.15,0.08,6,3,27.0,363,california,/static/img/california-small.png,/static/img/california-large.png
5,CO,0.57,0.0,23,2,11.0,3817,colorado,/static/img/colorado-small.png,/static/img/colorado-large.png
6,CT,0.8,0.0,33,1,41.0,732,connecticut,/static/img/connecticut-small.png,/static/img/connecticut-large.png
7,DC,0.0,0.0,0,0,50.0,96,washington-dc,/static/img/maryland-small.png,/static/img/maryland-large.png
8,DE,0.0,0.0,3,0,44.0,241,delaware,/static/img/delaware-small.png,/static/img/delaware-large.png
9,FL,52.94,0.0,65,6,38.0,4124,florida,/static/img/florida-small.png,/static/img/florida-large.png
10,GA,13.04,0.0,627,47,39.0,6031,georgia,/static/img/georgia-small.png,/static/img/georgia-large.png
11,HI,0.0,0.0,0,0,14.0,19,hawaii,/static/img/hawaii-small.png,/static/img/hawaii-large.png
12,IA,12.17,0.09,114,7,29.0,6922,iowa,/static/img/iowa-small.png,/static/img/iowa-large.png
13,ID,0.02,0.0,76,6,35.0,533,idaho,/static/img/idaho-small.png,/static/img/idaho-large.png
14,IL,12.1,0.12,485,25,32.0,6718,illinois,/static/img/illinois-small.png,/static/img/illinois-large.png
15,IN,11.91,0.03,119,39,35.0,5181,indiana,/static/img/indiana-small.png,/static/img/indiana-large.png
16,KS,10.62,4.42,158,5,22.0,12923,kansas,/static/img/kansas-small.png,/static/img/kansas-large.png
17,KY,11.7,0.05,500,44,39.0,6691,kentucky,/static/img/kentucky-small.png,/static/img/kentucky-large.png
18,LA,1.16,0.0,304,19,34.0,3063,louisiana,/static/img/louisiana-small.png,/static/img/louisiana-large.png
19,MA,3.78,0.0,216,3,37.0,1512,massachusetts,/static/img/massachusetts-small.png,/static/img/massachusetts-large.png
20,MD,0.69,0.0,21,1,44.0,2326,maryland,/static/img/maryland-small.png,/static/img/maryland-large.png
21,ME,1.0,0.0,13,0,39.0,1370,maine,/static/img/maine-small.png,/static/img/maine-large.png
22,MI,8.05,4.19,60,4,35.0,3506,michigan,/static/img/michigan-small.png,/static/img/michigan-large.png
23,MN,10.03,1.09,124,10,26.0,5688,minnesota,/static/img/minnesota-small.png,/static/img/minnesota-large.png
24,MO,7.73,0.0,1448,172,26.0,7932,missouri,/static/img/missouri-small.png,/static/img/missouri-large.png
25,MS,13.63,0.0,1058,128,33.0,4944,mississippi,/static/img/mississippi-small.png,/static/img/mississippi-large.png
26,MT,4.49,0.0,14,4,23.0,3201,montana,/static/img/montana-small.png,/static/img/montana-large.png
27,NC,5.62,0.05,618,41,35.0,7194,north-carolina,/static/img/north-carolina-small.png,/static/img/north-carolina-large.png
28,ND,84.92,5.98,25,1,23.0,3653,north-dakota,/static/img/north-dakota-small.png,/static/img/north-dakota-large.png
29,NE,8.23,6.87,64,3,18.0,8192,nebraska,/static/img/nebraska-small.png,/static/img/nebraska-large.png
30,NH,0.0,0.0,34,2,38.0,858,new-hampshire,/static/img/new-hampshire-small.png,/static/img/new-hampshire-large.png
31,NJ,0.18,0.0,26,4,43.0,1302,new-jersey,/static/img/new-jersey-small.png,/static/img/new-jersey-large.png
32,NM,4.8,0.0,18,1,16.0,1611,new-mexico,/static/img/new-mexico-small.png,/static/img/new-mexico-large.png
33,NV,50.18,0.0,9,0,38.0,324,nevada,/static/img/nevada-small.png,/static/img/nevada-large.png
34,NY,3.96,0.0,57,8,37.0,5034,new-york,/static/img/new-york-small.png,/static/img/new-york-large.png
35,OH,6.39,0.07,169,18,32.0,6881,ohio,/static/img/ohio-small.png,/static/img/ohio-large.png
36,OK,18.56,0.0,1012,73,25.0,7231,oklahoma,/static/img/oklahoma-small.png,/static/img/oklahoma-large.png
37,OR,1.04,0.0,3,0,20.0,361,oregon,/static/img/oregon-small.png,/static/img/oregon-large.png
38,PA,11.15,0.0,75,9,38.0,5625,pennsylvania,/static/img/pennsylvania-small.png,/static/img/pennsylvania-large.png
39,PR,0.01,0.0,1,0,22.0,33,puerto-rico,/static/img/puerto-rico-small.png,/static/img/puerto-rico-large.png
40,RI,0.25,0.0,0,0,38.0,127,rhode-island,/static/img/rhode-island-small.png,/static/img/rhode-island-large.png
41,SC,1.51,0.0,94,5,39.0,6034,south-carolina,/static/img/south-carolina-small.png,/static/img/south-carolina-large.png
42,SD,1.18,0.0,39,2,25.0,6417,south-dakota,/static/img/south-dakota-small.png,/static/img/south-dakota-large.png
43,TN,2.77,0.0,627,54,38.0,5729,tennessee,/static/img/tennessee-small.png,/static/img/tennessee-large.png
44,TX,3398.46,1.25,942,33,22.0,14598,texas,/static/img/texas-small.png,/static/img/texas-large.png
45,UT,2.49,0.0,8,0,44.0,524,utah,/static/img/utah-small.png,/static/img/utah-large.png
46,VA,25.98,1.58,242,22,40.0,6801,virginia,/static/img/virginia-small.png,/static/img/virginia-large.png
47,VT,0.57,0.0,0,1,33.0,901,vermont,/static/img/vermont-small.png,/static/img/vermont-large.png
48,WA,4.82,0.0,9,2,32.0,286,washington,/static/img/washington-small.png,/static/img/washington-large.png
49,WI,6.54,0.06,65,5,30.0,4135,wisconsin,/static/img/wisconsin-small.png,/static/img/wisconsin-large.png
50,WV,5.27,0.0,25,2,36.0,2476,west-virginia,/static/img/west-virginia-small.png,/static/img/west-virginia-large.png
51,WY,0.0,0.0,5,0,18.0,1942,wyoming,/static/img/wyoming-small.png,/static/img/wyoming-large.png
