level_0,index,yr,mo,dy,st,mag,inj,fat,loss,closs,slat,slon,type,date_time
0,0,2010,1,18,CA,0.0,0,0,0.0,0.0,36.73,-119.86,torn,2010-01-18 : 17:24:00
1,1,2010,1,19,CA,0.0,0,0,0.0,0.0,34.4248,-119.87700000000001,torn,2010-01-19 : 12:32:00
2,2,2010,1,19,CA,1.0,0,0,0.5,0.0,33.716,-118.125,torn,2010-01-19 : 14:55:00
3,3,2010,1,20,LA,0.0,0,0,0.0,0.0,30.815,-92.0455,torn,2010-01-20 : 15:27:00
4,4,2010,1,20,TX,1.0,0,0,0.04,0.0,31.5095,-93.9232,torn,2010-01-20 : 16:26:00
5,5,2010,1,20,TX,3.0,0,0,1.5,0.0,32.4869,-94.1689,torn,2010-01-20 : 17:18:00
6,6,2010,1,20,TX,3.0,0,0,1.5,0.0,32.4869,-94.1689,torn,2010-01-20 : 17:18:00
7,7,2010,1,20,TX,2.0,0,0,1.0,0.0,32.571,-95.8725,torn,2010-01-20 : 17:19:00
8,8,2010,1,20,LA,3.0,0,0,0.0,0.0,32.5182,-94.0432,torn,2010-01-20 : 17:38:00
9,9,2010,1,20,LA,0.0,0,0,0.0,0.0,31.7667,-93.2623,torn,2010-01-20 : 17:48:00
10,10,2010,1,20,MS,0.0,0,0,0.04,0.0,32.4755,-90.2386,torn,2010-01-20 : 18:01:00
11,11,2010,1,20,TX,2.0,0,0,0.03,0.0,32.0649,-95.6903,torn,2010-01-20 : 18:20:00
12,12,2010,1,20,TX,0.0,0,0,0.1,0.0,33.0531,-95.7142,torn,2010-01-20 : 18:22:00
13,13,2010,1,20,TX,1.0,0,0,0.075,0.0,32.0872,-95.6296,torn,2010-01-20 : 18:23:00
14,14,2010,1,20,TX,0.0,0,0,0.75,0.0,33.1321,-95.56,torn,2010-01-20 : 18:35:00
15,15,2010,1,20,LA,1.0,0,0,0.1,0.0,30.6831,-90.39299999999999,torn,2010-01-20 : 18:55:00
16,16,2010,1,20,TX,0.0,0,0,0.2,0.0,32.1923,-95.3492,torn,2010-01-20 : 18:58:00
17,17,2010,1,20,TX,1.0,0,0,0.04,0.0,32.24,-95.26799999999999,torn,2010-01-20 : 19:09:00
18,18,2010,1,20,TX,1.0,0,0,0.3,0.0,32.6735,-94.5777,torn,2010-01-20 : 19:44:00
19,19,2010,1,21,MS,2.0,0,0,0.5,0.0,31.8343,-90.3799,torn,2010-01-21 : 00:50:00
20,20,2010,1,21,GA,0.0,0,0,0.0,0.0,30.5172,-82.0508,torn,2010-01-21 : 11:45:00
21,21,2010,1,21,FL,0.0,0,0,0.0,0.0,30.5363,-82.0404,torn,2010-01-21 : 11:50:00
22,22,2010,1,21,FL,0.0,0,0,0.0,0.0,30.56,-81.83,torn,2010-01-21 : 12:10:00
23,23,2010,1,21,FL,1.0,0,0,3.5,0.0,29.9914,-82.1998,torn,2010-01-21 : 12:22:00
24,24,2010,1,21,CA,0.0,0,0,0.0,0.0,34.2518,-119.195,torn,2010-01-21 : 14:25:00
25,25,2010,1,21,TN,0.0,0,0,0.0,0.0,35.2017,-85.8919,torn,2010-01-21 : 16:58:00
26,26,2010,1,21,CA,0.0,0,0,3.0,0.0,33.5105,-114.745,torn,2010-01-21 : 17:10:00
27,27,2010,1,21,AL,2.0,1,0,0.0,0.0,34.7,-86.6398,torn,2010-01-21 : 17:15:00
28,28,2010,1,21,TN,0.0,0,0,0.0,0.0,35.11,-85.69,torn,2010-01-21 : 17:48:00
29,29,2010,1,22,FL,0.0,1,0,0.0,0.0,28.2537,-80.7246,torn,2010-01-22 : 06:38:00
30,30,2010,1,23,CA,1.0,0,0,0.025,0.0,37.9132,-121.766,torn,2010-01-23 : 14:54:00
31,31,2010,1,24,TN,0.0,0,0,0.05,0.0,36.5505,-86.9132,torn,2010-01-24 : 15:40:00
32,32,2010,2,27,CA,0.0,0,0,0.0,0.0,35.3,-119.27,torn,2010-02-27 : 18:45:00
33,33,2010,3,8,OK,2.0,0,0,1.0,0.0,35.5635,-99.4618,torn,2010-03-08 : 17:20:00
34,34,2010,3,8,OK,0.0,0,0,0.0,0.0,35.7413,-99.19,torn,2010-03-08 : 18:16:00
35,35,2010,3,8,CA,0.0,0,0,0.05,0.0,39.73,-122.55,torn,2010-03-08 : 18:25:00
36,36,2010,3,10,AR,0.0,0,0,0.0,0.0,33.912,-93.6997,torn,2010-03-10 : 16:17:00
37,37,2010,3,10,AR,1.0,0,0,0.875,0.0,34.5898,-92.6561,torn,2010-03-10 : 18:26:00
38,38,2010,3,10,AR,1.0,2,0,0.95,0.0,35.2398,-91.9072,torn,2010-03-10 : 20:19:00
39,39,2010,3,10,AR,1.0,0,0,0.05,0.0,35.4438,-91.7018,torn,2010-03-10 : 20:53:00
40,40,2010,3,10,AR,2.0,3,1,0.25,0.0,35.3969,-92.1422,torn,2010-03-10 : 21:09:00
41,41,2010,3,10,AR,1.0,0,0,1.2,0.0,35.6273,-91.53,torn,2010-03-10 : 21:30:00
42,42,2010,3,10,MO,1.0,0,0,0.0,0.0,38.4397,-92.0278,torn,2010-03-10 : 22:25:00
43,43,2010,3,10,MO,0.0,0,0,0.0,0.0,38.6639,-91.925,torn,2010-03-10 : 22:34:00
44,44,2010,3,10,MO,0.0,0,0,0.0,0.0,38.6892,-91.8983,torn,2010-03-10 : 22:36:00
45,45,2010,3,10,MO,1.0,1,0,0.2,0.0,36.5925,-90.7902,torn,2010-03-10 : 23:30:00
46,46,2010,3,11,MS,1.0,0,0,0.1,0.2,32.4158,-89.5848,torn,2010-03-11 : 03:05:00
47,47,2010,3,11,MS,1.0,0,0,0.05,0.1,32.4469,-89.5609,torn,2010-03-11 : 03:09:00
48,48,2010,3,11,FL,0.0,0,0,0.0,0.0,28.7309,-82.5822,torn,2010-03-11 : 13:23:00
49,49,2010,3,11,FL,0.0,0,0,0.002,0.0,28.08,-81.78,torn,2010-03-11 : 15:50:00
50,50,2010,3,11,FL,1.0,0,0,0.2,0.0,28.069000000000003,-81.559,torn,2010-03-11 : 15:53:00
51,51,2010,3,12,GA,0.0,0,0,0.05,0.0,32.23,-83.75,torn,2010-03-12 : 15:48:00
52,52,2010,3,25,AL,1.0,0,0,0.05,0.0,34.36,-87.085,torn,2010-03-25 : 16:40:00
53,53,2010,3,25,AL,1.0,0,0,0.17,0.0,33.2391,-86.867,torn,2010-03-25 : 18:02:00
54,54,2010,3,25,AL,1.0,0,0,0.035,0.0,32.8472,-86.6814,torn,2010-03-25 : 18:59:00
55,55,2010,3,28,SC,1.0,0,0,0.0,0.013000000000000001,33.633,-82.119,torn,2010-03-28 : 15:06:00
56,56,2010,3,28,NC,1.0,0,0,1.1,0.0,35.2346,-81.0166,torn,2010-03-28 : 15:37:00
57,57,2010,3,28,FL,0.0,0,0,0.005,0.0,28.119,-80.7135,torn,2010-03-28 : 16:00:00
58,58,2010,3,28,NC,2.0,5,0,1.75,0.0,35.691,-80.431,torn,2010-03-28 : 16:46:00
59,59,2010,3,28,NC,3.0,0,0,10.75,0.0,35.9616,-80.0785,torn,2010-03-28 : 17:15:00
60,60,2010,3,28,VA,0.0,0,0,0.015,0.0,36.578,-79.003,torn,2010-03-28 : 20:02:00
61,61,2010,3,28,SC,2.0,0,0,0.25,0.02,33.629,-82.042,torn,2010-03-28 : 20:24:00
62,62,2010,3,28,SC,2.0,1,0,1.0,0.01,33.9932,-81.5013,torn,2010-03-28 : 21:25:00
63,63,2010,3,28,NC,1.0,0,0,0.25,0.0,36.2677,-78.9007,torn,2010-03-28 : 21:55:00
64,64,2010,3,28,SC,0.0,0,0,0.0,0.004,34.26,-81.18,torn,2010-03-28 : 22:03:00
65,65,2010,3,29,FL,0.0,0,0,0.08,0.0,26.1716,-80.1662,torn,2010-03-29 : 06:26:00
66,66,2010,4,4,MO,0.0,0,0,0.0,0.0,39.32,-92.67,torn,2010-04-04 : 18:00:00
67,67,2010,4,5,IL,0.0,0,0,0.0,0.0,39.1452,-89.5238,torn,2010-04-05 : 15:14:00
68,68,2010,4,7,IL,0.0,0,0,0.005,0.0,37.7648,-89.5304,torn,2010-04-07 : 15:28:00
69,69,2010,4,8,AL,0.0,0,0,0.015,0.0,34.0884,-86.5937,torn,2010-04-08 : 03:42:00
70,70,2010,4,8,AL,0.0,0,0,0.0,0.0,31.1683,-88.0412,torn,2010-04-08 : 06:15:00
71,71,2010,4,8,AL,0.0,0,0,0.0,0.0,31.2893,-86.0359,torn,2010-04-08 : 11:10:00
72,72,2010,4,8,FL,0.0,0,0,0.0,0.0,30.5131,-84.6022,torn,2010-04-08 : 12:38:00
73,73,2010,4,8,GA,1.0,0,0,0.218,0.0,33.7713,-83.5032,torn,2010-04-08 : 14:50:00
74,74,2010,4,8,SC,0.0,0,0,0.005,0.0,34.516999999999996,-82.98700000000001,torn,2010-04-08 : 15:01:00
75,75,2010,4,8,SC,1.0,0,0,0.1,0.0,34.623000000000005,-82.71799999999999,torn,2010-04-08 : 15:26:00
76,76,2010,4,8,SC,0.0,0,0,0.04,0.0,32.24,-80.9,torn,2010-04-08 : 21:11:00
77,77,2010,4,12,FL,0.0,0,0,0.0,0.0,26.6861,-80.6596,torn,2010-04-12 : 16:06:00
78,78,2010,4,13,CO,0.0,0,0,0.0,0.0,39.1706,-102.53399999999999,torn,2010-04-13 : 18:59:00
79,79,2010,4,17,TX,0.0,0,0,0.005,0.0,27.5211,-97.9681,torn,2010-04-17 : 16:15:00
80,80,2010,4,20,TX,0.0,0,0,0.0,0.0,35.18,-102.12299999999999,torn,2010-04-20 : 18:04:00
81,81,2010,4,20,TX,0.0,0,0,0.0,0.0,34.9807,-102.06200000000001,torn,2010-04-20 : 18:47:00
82,82,2010,4,21,CO,0.0,0,0,0.0,0.0,37.4169,-103.929,torn,2010-04-21 : 17:09:00
83,83,2010,4,22,CO,0.0,0,0,0.0,0.0,37.9883,-103.15,torn,2010-04-22 : 13:05:00
84,84,2010,4,22,CO,0.0,0,0,0.0,0.0,38.0102,-103.154,torn,2010-04-22 : 13:08:00
85,85,2010,4,22,CO,0.0,0,0,0.0,0.0,38.172,-102.973,torn,2010-04-22 : 13:35:00
86,86,2010,4,22,CO,0.0,0,0,0.0,0.0,38.2025,-102.961,torn,2010-04-22 : 13:48:00
87,87,2010,4,22,CO,0.0,0,0,0.0,0.0,38.2514,-102.943,torn,2010-04-22 : 13:57:00
88,88,2010,4,22,CO,0.0,0,0,0.0,0.0,38.2938,-102.91,torn,2010-04-22 : 14:22:00
89,89,2010,4,22,CO,1.0,0,0,0.001,0.0,38.3555,-102.882,torn,2010-04-22 : 14:29:00
90,90,2010,4,22,CO,0.0,0,0,0.0,0.0,38.3653,-102.831,torn,2010-04-22 : 14:36:00
91,91,2010,4,22,CO,0.0,0,0,0.0,0.0,38.4238,-102.823,torn,2010-04-22 : 14:45:00
92,92,2010,4,22,CO,0.0,0,0,0.0,0.0,38.4581,-102.794,torn,2010-04-22 : 14:55:00
93,93,2010,4,22,CO,0.0,0,0,0.0,0.0,38.4442,-102.771,torn,2010-04-22 : 14:56:00
94,94,2010,4,22,CO,0.0,0,0,0.0,0.0,38.4856,-102.76100000000001,torn,2010-04-22 : 15:00:00
95,95,2010,4,22,CO,0.0,0,0,0.0,0.0,38.580999999999996,-102.829,torn,2010-04-22 : 15:12:00
96,96,2010,4,22,CO,0.0,0,0,0.0,0.0,39.52,-104.16,torn,2010-04-22 : 15:28:00
97,97,2010,4,22,CO,0.0,0,0,0.0,0.0,39.9,-104.08,torn,2010-04-22 : 15:38:00
98,98,2010,4,22,KS,1.0,0,0,0.18,0.0,37.8838,-101.432,torn,2010-04-22 : 15:48:00
99,99,2010,4,22,TX,0.0,0,0,0.0,0.0,35.0812,-101.137,torn,2010-04-22 : 15:59:00
100,100,2010,4,22,KS,0.0,0,0,0.0,0.0,37.9607,-101.325,torn,2010-04-22 : 16:04:00
101,101,2010,4,22,TX,0.0,0,0,0.0,0.0,35.16,-100.98,torn,2010-04-22 : 16:10:00
102,102,2010,4,22,TX,1.0,0,0,0.003,0.0,34.9866,-101.2,torn,2010-04-22 : 16:20:00
103,103,2010,4,22,CO,0.0,0,0,0.0,0.0,38.8904,-102.695,torn,2010-04-22 : 16:24:00
104,104,2010,4,22,KS,0.0,0,0,0.0,0.0,38.0391,-101.215,torn,2010-04-22 : 16:32:00
